work	year	book	chapter	unigram_perplexity_orig	bigram_perplexity_orig	mdl_over_dl_orig	wc_orig	type_token_ratio_orig	unigram_perplexity_norm	bigram_perplexity_norm	mdl_over_dl_norm	wc_norm	type_token_ratio_norm
Jordánszky-kódex, 1516–19	1516	Mt	1	141.0752624998571	2.055332717216158	0.41804937272359366	347	0.6368876080691642	124.76782718016034	2.1558469548983075	0.4337400084139672	333	0.6066066066066066
Jordánszky-kódex, 1516–19	1516	Mt	2	160.66513325645562	2.466866111898941	0.4444796954314721	464	0.603448275862069	150.14341119459792	2.28589451464776	0.4631134221644459	428	0.5957943925233645
Jordánszky-kódex, 1516–19	1516	Mt	3	151.20079058975807	1.9566121564088086	0.5066162570888468	306	0.6993464052287581	143.8301903916308	1.8833232465181533	0.5388753056234719	281	0.693950177935943
Jordánszky-kódex, 1516–19	1516	Mt	4	155.22201150533778	2.3212949522997834	0.4534056252117926	422	0.6066350710900474	145.1150765318919	2.3481758254909604	0.4893692416725726	403	0.6004962779156328
Jordánszky-kódex, 1516–19	1516	Mt	5	230.4851936674121	2.8533065376663567	0.40818563858943907	814	0.5184275184275184	219.00231504432023	2.6710590110442163	0.4330767786746762	762	0.5144356955380578
Jordánszky-kódex, 1516–19	1516	Mt	6	198.9360975198001	2.772995781867072	0.4193325661680092	644	0.5341614906832298	178.79448628408917	2.7558450648643307	0.43086361491269465	605	0.5107438016528926
Jordánszky-kódex, 1516–19	1516	Mt	7	157.5543627933355	2.7846266240075117	0.43336411203447217	509	0.5363457760314342	156.12901756048623	2.6136506944427933	0.4675324675324675	472	0.5466101694915254
Jordánszky-kódex, 1516–19	1516	Mt	8	186.06796330029775	2.9989841462450175	0.44337811900191937	647	0.5502318392581144	176.362666649921	2.8783693681245937	0.4794007490636704	594	0.5538720538720538
Jordánszky-kódex, 1516–19	1516	Mt	9	181.59076203286162	3.3612201493631395	0.43138556883576806	702	0.5170940170940171	168.77065665007308	3.2928865222816794	0.46608415727753505	648	0.5200617283950617
Jordánszky-kódex, 1516–19	1516	Mt	10	194.97615937341286	3.1742602959640696	0.42884290540540543	729	0.5102880658436214	193.5172624227145	3.0433566075334126	0.46554731792411685	680	0.5235294117647059
